C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG
시군구별,10195,31270,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Pocheon-si,포천시,명,101,By Administrative District
시군구별,7500,31280,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeoju-si,여주시,명,101,By Administrative District
시군구별,3412,31350,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeoncheon-gun,연천군,명,101,By Administrative District
시군구별,5064,31370,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gapyeong-gun,가평군,명,101,By Administrative District
시군구별,8200,31380,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yangpyeong-gun,양평군,명,101,By Administrative District
시군구별,100321,32,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangwon-Do,강원특별자치도,명,101,By Administrative District
시군구별,15463,32010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Chuncheon-si,춘천시,명,101,By Administrative District
시군구별,19512,32020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Wonju-si,원주시,명,101,By Administrative District
시군구별,13348,32030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangneung-si,강릉시,명,101,By Administrative District
시군구별,6646,32040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Donghae-si,동해시,명,101,By Administrative District
시군구별,4020,32050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Taebaek-si,태백시,명,101,By Administrative District
시군구별,4870,32060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Sokcho-si,속초시,명,101,By Administrative District
시군구별,5330,32070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Samcheok-si,삼척시,명,101,By Administrative District
시군구별,5074,32310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hongcheon-gun,홍천군,명,101,By Administrative District
시군구별,3736,32320,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hoengseong-gun,횡성군,명,101,By Administrative District
시군구별,3403,32330,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeongwol-gun,영월군,명,101,By Administrative District
시군구별,3107,32340,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Pyeongchang-gun,평창군,명,101,By Administrative District
시군구별,3226,32350,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jeongseon-gun,정선군,명,101,By Administrative District
시군구별,2983,32360,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Cheorwon-gun,철원군,명,101,By Administrative District
