순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10633,평택시,율포여객,99,214000199,코오롱하늘채아파트,214000469,K55정문,214000308,N,20250213
10634,평택시,협진여객,1154,214000271,원중복,231001258,평택역.AKPLAZA,231001258,N,20250213
10635,평택시,협진여객,1220,214000018,e편한세상평택용이.평택남산교회앞,214001302,K6정문.캠프험프리,214000800,Y,20250213
10636,평택시,협진여객,1311,214000014,용이동차고지,214001302,미도아파트,214000298,N,20250213
10637,평택시,협진여객,1353,214000268,용이동차고지,214001302,칠괴동우림아파트,214001302,N,20250213
10638,평택시,협진여객,1409,214000039,평택역.AKPLAZA,231001258,서정리역(중),214000034,N,20250213
10639,평택시,협진여객,1452,214000259,평택지제역,214002018,서정리역(중),214000793,N,20250213
10640,평택시,협진여객,1502,214000001,용이동차고지,214001302,오산대학,223000132,Y,20250213
10641,평택시,협진여객,1522,214000006,용이동차고지,214001302,오산터미널,223000132,Y,20250213
10642,평택시,협진여객,순환111B,214000257,평택터미널,214000640,평택역.AKPLAZA,214000596,N,20250213
10643,평택시,협진여객,순환121,214000043,용이동차고지,214001302,내리회관,214000422,N,20250213
10644,평택시,뉴진위여객,13A,214000216,가곡1리,214001885,송탄시장,214001886,N,20250213
10645,평택시,뉴진위여객,13B,214000217,가곡1리,214001885,송탄시장,214001886,N,20250213
10646,평택시,뉴진위여객,22,214000218,서정리시장,241000613,서정리시장,241000613,N,20250213
10647,평택시,뉴진위여객,23,214000242,서정리시장,241000613,서정리시장,241000613,N,20250213
10648,평택시,뉴진위여객,6,214000212,가곡2리,214001884,오산역환승센터2층(1승강장),223000539,N,20250213
