연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2018,울산 Ulsan,14990,9048,2892,2026,4232,3082,267,126,2504,1646,2797,2111,474,89,691,714,1016,792,108,70,193,66,228,90,49,23,125,88,50,53
2018,세종 Sejong,3348,2244,686,438,764,711,66,18,617,368,565,429,121,23,224,201,206,136,16,4,33,16,37,22,8,6,44,26,14,13
2018,경기 Gyeonggi,161567,107164,32491,20497,35166,28936,3298,1219,26345,16588,31458,23148,6044,993,9254,9762,12148,8922,834,468,1802,704,2239,914,367,259,2124,1265,746,664
2018,강원 Gangwon,29798,21225,5376,4039,7291,6190,525,212,4797,3416,5427,3850,545,119,1611,1497,1548,1144,83,48,456,104,285,128,56,42,402,237,138,104
2018,충북 Chungbuk,26784,19739,5329,3664,6779,6172,470,192,6049,4156,4900,3838,594,100,1928,1778,1577,1199,98,52,269,95,296,105,52,34,367,224,124,122
2018,충남 Chungnam,36991,26986,7150,4902,10641,9576,712,299,6900,4761,6174,4819,756,142,2777,2548,2022,1328,114,96,461,116,330,137,72,51,469,303,158,119
2018,전북 Jeonbuk,34864,31435,6697,4886,9013,8187,845,345,7088,5052,6548,5570,599,122,2847,2624,1857,1077,103,58,277,84,310,113,46,69,375,226,216,213
2018,전남 Jeonnam,36287,35631,7841,6237,10114,9555,658,346,7130,4717,6300,5286,630,99,3161,2567,1984,1253,118,70,453,124,404,115,50,36,398,257,228,164
2018,경북 Gyeongbuk,46340,35692,9178,7056,14400,14587,844,358,9631,6196,9079,6910,957,169,3959,3411,2729,1849,212,118,520,144,596,212,109,84,493,361,206,150
2018,경남 Gyongnam,54612,38533,10096,6958,11725,11245,995,400,9025,6012,9887,7937,1417,292,4170,3655,3370,2349,156,103,549,225,522,188,128,80,613,378,222,174
2018,제주 Jeju,8125,6549,2341,1884,2725,3135,284,110,1835,1384,1945,1595,452,69,661,620,795,505,52,25,181,71,127,48,18,8,103,76,53,64
2019,서울 Seoul,99610,77157,25199,16633,30291,24649,2399,928,16420,10358,24531,16773,5174,926,8443,7992,10075,7091,692,376,1564,563,1740,775,212,173,1784,1071,687,557
2019,부산 Busan,47476,32384,10748,7309,12523,10221,1053,415,7209,4644,11669,8245,1615,311,4251,3950,4251,3013,311,158,734,259,562,226,140,93,686,387,310,225
2019,대구 Daegu,31693,20989,7163,4872,11362,11007,765,292,6119,4008,7574,5341,999,189,3121,2944,2735,1890,150,90,330,91,452,197,79,58,386,253,184,152
2019,인천 Incheon,42792,26586,8286,5468,11545,9891,1036,378,6385,4136,7662,5583,1264,249,2297,2516,3216,2358,155,88,459,184,439,210,79,63,512,334,217,186
2019,광주 Gwangju,17079,13452,4311,3027,5320,4816,418,147,4039,2892,3900,3032,665,151,1492,1599,1387,955,98,40,206,83,258,105,38,27,226,147,136,131
2019,대전 Daejeon,19682,13511,4195,2840,5333,4744,395,173,3846,2685,4139,3299,863,165,1596,1583,1603,1088,80,45,217,83,226,101,53,22,257,139,147,112
2019,울산 Ulsan,14812,8976,2886,2017,4404,3207,283,133,2602,1695,2754,2120,525,99,692,725,1073,850,101,71,189,69,242,97,47,23,130,88,54,50
2019,세종 Sejong,3485,2283,735,447,841,789,74,19,668,394,608,459,141,29,230,210,243,151,14,6,33,15,38,22,8,5,45,27,13,14
2019,경기 Gyeonggi,161079,106718,32943,20785,39275,33113,3502,1306,27365,17177,31657,23164,6526,1098,9397,9906,12924,9387,833,470,1742,684,2323,988,369,247,2186,1294,751,669
2019,강원 Gangwon,29490,21046,5386,4042,7709,6589,539,209,4887,3510,5400,3855,606,129,1637,1520,1638,1202,85,46,443,101,299,131,56,43,407,248,133,98
2019,충북 Chungbuk,26615,19468,5303,3633,7041,6497,483,206,6186,4308,4898,3799,634,111,1919,1821,1685,1236,90,50,253,94,316,111,53,34,369,232,120,123
2019,충남 Chungnam,36519,26703,7141,4943,11448,10597,714,291,7082,4906,6217,4818,825,156,2798,2565,2131,1419,122,92,449,122,350,146,75,51,463,304,161,116
2019,전북 Jeonbuk,34292,30821,6606,4816,9684,9129,865,355,7206,5138,6525,5490,650,135,2831,2627,1956,1145,103,55,275,80,329,113,45,66,363,234,219,211
2019,전남 Jeonnam,35683,35062,7777,6191,10285,9962,667,344,7264,4812,6231,5275,681,111,3157,2569,2090,1331,116,69,421,117,416,126,50,36,391,263,230,161
2019,경북 Gyeongbuk,45841,35214,9133,7000,16408,17150,865,395,9884,6358,9085,6876,1003,185,3952,3437,2919,1952,204,113,500,144,626,237,109,86,499,360,209,154
2019,경남 Gyongnam,54031,38043,10096,6931,12723,12309,1021,418,9279,6163,9815,7869,1580,323,4186,3725,3562,2462,158,105,548,228,561,213,128,79,631,381,226,174
2019,제주 Jeju,8067,6476,2353,1840,2882,3350,284,113,1891,1420,1952,1573,483,77,659,633,855,535,56,24,179,63,132,47,18,8,110,83,58,66
2020,서울 Seoul,97303,75303,25004,16620,31621,25809,2442,972,16596,10488,24244,16661,5431,984,8438,8087,10583,7312,682,358,1562,563,1794,803,205,173,1796,1105,685,566
2020,부산 Busan,46660,31855,10666,7357,13284,10911,1097,445,7361,4757,11578,8153,1722,353,4251,3998,4509,3168,312,155,726,268,589,249,136,94,677,414,312,236
2020,대구 Daegu,31084,20596,7097,4864,12187,11820,792,315,6219,4073,7469,5280,1049,199,3101,2922,2899,2000,153,89,329,91,470,208,78,56,366,253,182,157
2020,인천 Incheon,42247,26289,8262,5465,12518,10719,1082,406,6565,4258,7640,5550,1398,258,2304,2528,3413,2455,158,100,447,180,467,224,80,66,514,326,210,192
2020,광주 Gwangju,16814,13197,4276,3014,5385,4798,411,155,4139,2961,3915,2988,736,160,1515,1605,1469,1008,100,42,210,86,270,106,36,27,222,144,140,132
2020,대전 Daejeon,19327,13215,4175,2821,5360,4836,411,181,3937,2713,4064,3220,904,178,1600,1610,1703,1133,72,47,217,76,236,108,50,22,251,135,140,111
2020,울산 Ulsan,14668,8848,2869,1992,4435,3260,296,133,2687,1743,2737,2092,560,110,708,744,1166,899,98,70,196,69,248,99,47,23,134,85,56,50
2020,세종 Sejong,3506,2272,746,449,889,842,85,22,696,420,617,470,172,36,240,215,253,161,14,7,38,15,44,25,7,5,42,27,15,16
2020,경기 Gyeonggi,160705,106338,33222,20990,42286,35756,3761,1407,28150,17733,31871,23189,7069,1218,9477,10086,13751,9836,842,470,1774,708,2449,1055,375,254,2215,1323,757,659
2020,강원 Gangwon,29182,20806,5389,4045,7893,6782,552,218,4909,3526,5387,3768,644,132,1644,1536,1783,1276,88,42,434,103,325,150,55,42,410,260,134,100
2020,충북 Chungbuk,26478,19241,5235,3628,7187,6692,483,205,6272,4384,4901,3750,663,118,1919,1824,1783,1300,103,48,239,102,320,125,53,34,364,241,117,123
2020,충남 Chungnam,36226,26501,7182,4899,11700,10865,736,304,7239,5008,6132,4784,887,167,2794,2568,2248,1532,125,81,443,119,365,154,79,51,456,313,171,121
2020,전북 Jeonbuk,33725,30215,6531,4725,10065,9656,879,369,7281,5201,6382,5432,693,148,2829,2648,2080,1239,99,55,275,83,345,121,47,68,358,234,219,205
