C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,28.67,1236,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jeollanam-do,전라남도,%,101
행정구역별,23.86,1236,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jeollanam-do,전라남도,%,101
행정구역별,21.9,1236010,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Mokpo-si,목포시,%,101
행정구역별,18.7,1236010,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2023-05-11,Mokpo-si,목포시,%,101
행정구역별,31.74,1236020,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeosu-si,여수시,%,101
행정구역별,26.87,1236020,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeosu-si,여수시,%,101
행정구역별,20.84,1236030,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Suncheon-si,순천시,%,101
행정구역별,19.69,1236030,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Suncheon-si,순천시,%,101
행정구역별,18.07,1236040,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Naju-si,나주시,%,101
행정구역별,15.24,1236040,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Naju-si,나주시,%,101
행정구역별,31.63,1236060,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangyang-si,광양시,%,101
행정구역별,22.59,1236060,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangyang-si,광양시,%,101
행정구역별,14.21,1236310,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Damyang-gun,담양군,%,101
행정구역별,11.06,1236310,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Damyang-gun,담양군,%,101
행정구역별,14.01,1236320,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gokseong-gun,곡성군,%,101
행정구역별,8.67,1236320,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gokseong-gun,곡성군,%,101
행정구역별,7.72,1236330,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gurye-gun,구례군,%,101
행정구역별,7.72,1236330,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gurye-gun,구례군,%,101
행정구역별,10.83,1236350,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Goheung-gun,고흥군,%,101
행정구역별,6.76,1236350,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Goheung-gun,고흥군,%,101
행정구역별,10.41,1236360,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Boseong-gun,보성군,%,101
행정구역별,8.12,1236360,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Boseong-gun,보성군,%,101
행정구역별,19.36,1236370,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Hwasun-gun,화순군,%,101
행정구역별,14.37,1236370,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Hwasun-gun,화순군,%,101
행정구역별,10.51,1236380,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jangheung-gun,장흥군,%,101
행정구역별,7.49,1236380,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jangheung-gun,장흥군,%,101
행정구역별,10.79,1236390,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gangjin-gun,강진군,%,101
행정구역별,7.61,1236390,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gangjin-gun,강진군,%,101
행정구역별,9.64,1236400,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Haenam-gun,해남군,%,101
행정구역별,7.73,1236400,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Haenam-gun,해남군,%,101
행정구역별,11.12,1236410,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongam-gun,영암군,%,101
행정구역별,11.12,1236410,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongam-gun,영암군,%,101
행정구역별,15.75,1236420,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Muan-gun,무안군,%,101
행정구역별,13.17,1236420,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Muan-gun,무안군,%,101
행정구역별,20.32,1236430,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Hampyeong-gun,함평군,%,101
행정구역별,7.58,1236430,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Hampyeong-gun,함평군,%,101
행정구역별,12.14,1236440,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeonggwang-gun,영광군,%,101
행정구역별,11.72,1236440,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeonggwang-gun,영광군,%,101
행정구역별,14.31,1236450,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jangseong-gun,장성군,%,101
행정구역별,10.98,1236450,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jangseong-gun,장성군,%,101
행정구역별,12.31,1236460,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Wando-gun,완도군,%,101
행정구역별,6.17,1236460,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Wando-gun,완도군,%,101
행정구역별,14.46,1236470,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jindo-gun,진도군,%,101
행정구역별,7.81,1236470,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jindo-gun,진도군,%,101
행정구역별,7.85,1236480,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Sinan-gun,신안군,%,101
행정구역별,6.94,1236480,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Sinan-gun,신안군,%,101
행정구역별,53.16,21,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Busan,부산광역시,%,101
행정구역별,45.96,21,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Busan,부산광역시,%,101
행정구역별,26.35,21010,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jung-gu,중구,%,101
행정구역별,23.67,21010,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jung-gu,중구,%,101
행정구역별,16.61,21020,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,13.62,21020,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,19.31,21030,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,17.27,21030,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,14.78,21040,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongdo-gu,영도구,%,101
행정구역별,10.72,21040,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongdo-gu,영도구,%,101
행정구역별,22.7,21050,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Busanjin-gu,부산진구,%,101
행정구역별,21.33,21050,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Busanjin-gu,부산진구,%,101
행정구역별,26.16,21060,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dongnae-gu,동래구,%,101
행정구역별,22.28,21060,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Dongnae-gu,동래구,%,101
행정구역별,28.41,21070,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,19.59,21070,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,14.39,21080,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Buk-gu,북구,%,101
행정구역별,11.09,21080,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Buk-gu,북구,%,101
행정구역별,32.1,21090,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Haeundae-gu,해운대구,%,101
행정구역별,29.55,21090,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Haeundae-gu,해운대구,%,101
행정구역별,18.85,21100,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Saha-gu,사하구,%,101
행정구역별,16.43,21100,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Saha-gu,사하구,%,101
행정구역별,23.67,21110,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Geumjeong-gu,금정구,%,101
행정구역별,17.07,21110,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Geumjeong-gu,금정구,%,101
행정구역별,44.11,21120,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gangseo-gu,강서구,%,101
행정구역별,42.73,21120,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gangseo-gu,강서구,%,101
행정구역별,25.55,21130,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeonje-gu,연제구,%,101
행정구역별,18.75,21130,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeonje-gu,연제구,%,101
행정구역별,26.61,21140,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Suyeong-gu,수영구,%,101
행정구역별,20.01,21140,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Suyeong-gu,수영구,%,101
행정구역별,23.19,21150,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Sasang-gu,사상구,%,101
행정구역별,19.15,21150,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Sasang-gu,사상구,%,101
행정구역별,38.6,21310,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Gijang-gun,기장군,%,101
행정구역별,26.57,21310,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gijang-gun,기장군,%,101
행정구역별,52.28,22,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Daegu,대구광역시,%,101
행정구역별,47.38,22,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Daegu,대구광역시,%,101
행정구역별,29.56,22010,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jung-gu,중구,%,101
행정구역별,28.63,22010,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jung-gu,중구,%,101
행정구역별,18.19,22020,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,17.32,22020,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,17.17,22030,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,13.91,22030,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,16.65,22040,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,10.63,22040,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,20.42,22050,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Buk-gu,북구,%,101
행정구역별,17.7,22050,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2023-05-11,Buk-gu,북구,%,101
행정구역별,30.55,22060,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Suseong-gu,수성구,%,101
행정구역별,28.6,22060,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2023-05-11,Suseong-gu,수성구,%,101
