연도,지역,자치단체,세부사업명,예산현액,국비,시도비,시군구비,지출액,집행잔액
2023,경북,상주시,[국]교통약자를위한저상버스구입지원,411000000,138000000,41400000,231600000,411000000,0
2023,경북,문경시,[국비]교통약자를 위한 저상버스 구입 지원,272000000,92000000,27600000,152400000,244000000,28000000
2023,경북,경산시,(국비보조)교통약자를 위한 저상버스 구입지원,920000000,460000000,138000000,322000000,552000000,368000000
2023,경북,경산시,(도비보조)저상버스 운영비 지원,180000000,0,54000000,126000000,180000000,0
2023,경북,울진군,교통약자를 위한 저상버스 구입지원,126000000,46000000,13800000,66200000,126000000,0
2023,경남,본청,저상버스 운영손실보상금 지원,294000000,0,294000000,0,294000000,0
2023,경남,진주시,저상버스 구입지원,3036000000,1518000000,759000000,759000000,3008400000,27600000
2023,경남,진주시,저상버스 재정지원,42000000,0,12600000,29400000,42000000,0
2023,경남,통영시,저상버스 운영손실금 보조,221863000,0,27300000,194563000,221862980,20
2023,경남,사천시,저상버스 구입 지원,368000000,184000000,92000000,92000000,276000000,92000000
2023,경남,김해시,저상버스  도입보조,3772000000,1886000000,943000000,943000000,1656000000,2116000000
2023,경남,김해시,저상버스 운영손실 보조,203000000,0,60900000,142100000,192393000,10607000
2023,경남,밀양시,저상버스 구입보조,552000000,276000000,138000000,138000000,552000000,0
2023,경남,밀양시,저상버스 도입운영,42000000,0,12600000,29400000,42000000,0
2023,경남,거제시,내도 해저상수관로 재해복구사업,64822000,32410110,12964890,19447000,64822000,0
2023,경남,거제시,저상버스 도입지원,1104000000,552000000,276000000,276000000,1104000000,0
2023,경남,거제시,지심도 해저상수관로 재해복구사업,214769000,107384000,42954000,64431000,214769000,0
2023,경남,양산시,저상버스 도입보조,1564000000,782000000,391000000,391000000,1564000000,0
2023,경남,양산시,저상버스 운영손실금 보조,119000000,0,35700000,83300000,119000000,0
2023,경남,함안군,저상버스 도입지원,92000000,46000000,23000000,23000000,85000000,7000000
2023,경남,남해군,저상버스 도입지원,184000000,92000000,46000000,46000000,184000000,0
2023,경남,거창군,전기저상 공영버스 구입(대폐차),1894783680,464000000,172000000,1258783680,1894783680,0
2023,제주,본청,저상버스 도입 지원,8808080000,2208000000,6600080000,0,2536080000,6272000000
2024,서울,본청,저상버스 도입,83018000000,33207200000,49810800000,0,69630200000,13387800000
2024,부산,본청,저상버스 도입보조,33517000000,16758500000,16758500000,0,30021000000,3496000000
2024,대구,본청,저상버스 도입,18208000000,7130000000,11078000000,0,18168000000,40000000
2024,인천,본청,저상버스 도입보조,24709000000,12354500000,12354500000,0,24665000000,44000000
2024,광주,본청,저상버스도입(보조),7087650000,3022200000,4065450000,0,7013360000,74290000
2024,광주,본청,저상버스도입(자체),1577000,0,1577000,0,1367700,209300
2024,대전,본청,저상버스 구입 보조,7446000000,3723000000,3723000000,0,7360000000,86000000
2024,울산,본청,저상버스 구입 보조,7360000000,3680000000,3680000000,0,5060000000,2300000000
2024,세종,본청,저상버스 도입,4324000000,2162000000,2162000000,0,4324000000,0
2024,세종,본청,저상버스 도입,3496000000,1748000000,1748000000,0,3496000000,0
2024,경기,본청,2층 저상버스 보급 지원(국비/지원),3450000000,2300000000,1150000000,0,3450000000,0
2024,경기,본청,저상버스 도입보조(국비/지원),46481275000,40418500000,6062775000,0,46481275000,0
2024,경기,본청,저상버스 운영비 지원(자체/지원),702250000,0,702250000,0,538000000,164250000
